stiched_unstiched,avg_rating_tot_reviews,weight,title,url,gender,brand,material,image_urls,seller,cost,link,images,occasion,age_group,product_location,condition
Stitched,,0.30 kg,Game Of Thrones Tyrion Wise Quotes Printed T-Shirt,http://www.kaymu.com.np/game-of-thrones-tyrion-wise-quotes-printed-t-shirt-1681654.html,Unisex,Other,Cotton,http://static.kaymu.com.np/p/other-3486-4561861-1-zoom.jpg,Optimal Printings,Rs 999,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.8/5 (263 reviews),0.50 kg,Pack Of 2 White & Grey Plain V-Neck T-shirt for Men,http://www.kaymu.com.np/pack-of-2-white-grey-plain-v-neck-t-shirt-for-men-1682114.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-1604-4112861-1-zoom.jpg,Bastra,Rs 849,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.8/5 (263 reviews),0.50 kg,Pack Of 2 Blue and Red V-Neck Tshirt for Men,http://www.kaymu.com.np/pack-of-2-blue-and-red-v-neck-tshirt-for-men-1682100.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-0522-0012861-1-zoom.jpg,Bastra,Rs 999,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.8/5 (263 reviews),0.50 kg,Pack Of 2 White & Red Plain V-Neck T-shirt for Men,http://www.kaymu.com.np/pack-of-2-white-red-plain-v-neck-t-shirt-for-men-1682136.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-2982-6312861-1-zoom.jpg,Bastra,Rs 849,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.5/5 (368 reviews),0.30 kg,Grey  Just Do It V-Neck T-Shirt,http://www.kaymu.com.np/grey-just-do-it-v-neck-t-shirt-1667277.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-7910-7727661-1-zoom.jpg,shreeganeshfancy,Rs 765,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.8/5 (1248 reviews),0.50 kg,Adidas Printed Black Round Neck T-Shirt,http://www.kaymu.com.np/adidas-printed-black-round-neck-t-shirt-1666291.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-7440-1926661-1-zoom.jpg,hardikfancycollection,Rs 699,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.5/5 (369 reviews),0.30 kg,Black No Request Printed T-Shirt  for Men's,http://www.kaymu.com.np/black-no-request-printed-t-shirt-for-mens-1667211.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-0943-1127661-1-zoom.jpg,shreeganeshfancy,Rs 765,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,3.7/5 (30 reviews),0.30 kg,Liverpool Printed T-Shirt (Red),http://www.kaymu.com.np/liverpool-printed-t-shirt-red-1671494.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-2306-4941761-1-zoom.jpg,CustomRUs,Rs 800,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.5/5 (369 reviews),0.30 kg,White Round Neck T-shirt with Buttons,http://www.kaymu.com.np/white-round-neck-t-shirt-with-buttons-1667274.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-7605-4727661-1-zoom.jpg,shreeganeshfancy,Rs 765,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.5/5 (369 reviews),0.30 kg,Grey No Request Printed T-Shirt for Men's,http://www.kaymu.com.np/grey-no-request-printed-t-shirt-for-mens-1667212.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-1004-2127661-1-zoom.jpg,shreeganeshfancy,Rs 765,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,4.3/5 (4 reviews),0.30 kg,Men's Striped Full Sleeve T-Shirt,http://www.kaymu.com.np/mens-striped-full-sleeve-t-shirt-1674325.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-1779-5234761-1-zoom.jpg,NewFashionBlast,"Rs 1,230",,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.9/5 (159 reviews),0.30 kg,Black V-Neck T-Shirt for Men's,http://www.kaymu.com.np/black-v-neck-t-shirt-for-mens-1666919.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-9306-9196661-1-zoom.jpg,BhutriClothingStore,"Rs 1,099",,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,3.5/5 (121 reviews),0.25 kg,Base Camp's Trekking T-Shirts - Orange,http://www.kaymu.com.np/base-camps-trekking-t-shirts-orange-269068.html,Unisex,Other,Other,http://static.kaymu.com.np/p/other-0970-860962-1-zoom.jpg,BaseCamp,Rs 790,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,4.1/5 (218 reviews),0.60 kg,Under Arm Sports T-Shirt - Green,http://www.kaymu.com.np/under-arm-sports-t-shirt-green-1685121.html,Men's,Other,Polyester,http://static.kaymu.com.np/p/other-9689-1215861-1-zoom.jpg,mgclassico,"Rs 1,149",,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.7/5 (1081 reviews),0.30 kg,Grey Baseball T-Shirt for Men,http://www.kaymu.com.np/grey-baseball-t-shirt-for-men-1671172.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-8260-2711761-1-zoom.jpg,abfancystore,Rs 950,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,3.5/5 (369 reviews),0.30 kg,Full Sleeve Black V-Neck T-Shirt,http://www.kaymu.com.np/full-sleeve-black-v-neck-t-shirt-1664528.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-2984-8254661-1-zoom.jpg,shreeganeshfancy,Rs 621,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,4.1/5 (218 reviews),0.40 kg,Chelsea Printed Round Neck T-Shirt - White,http://www.kaymu.com.np/chelsea-printed-round-neck-t-shirt-white-1685100.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-9697-0015861-1-zoom.jpg,mgclassico,Rs 949,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,4.1/5 (218 reviews),0.60 kg,Under Arm Sports T-Shirt - Grey,http://www.kaymu.com.np/under-arm-sports-t-shirt-grey-1685127.html,Men's,Other,Polyester,http://static.kaymu.com.np/p/other-9691-7215861-1-zoom.jpg,mgclassico,"Rs 1,149",,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,4.1/5 (218 reviews),0.40 kg,Manchester City Printed Round Neck T-Shirt - Red,http://www.kaymu.com.np/manchester-city-printed-round-neck-t-shirt-red-1685106.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-9692-6015861-1-zoom.jpg,mgclassico,Rs 949,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,4.1/5 (218 reviews),0.40 kg,Arsenal Printed Round Neck T-Shirt - Red,http://www.kaymu.com.np/arsenal-printed-round-neck-t-shirt-red-1685101.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-9695-1015861-1-zoom.jpg,mgclassico,Rs 949,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,4.1/5 (218 reviews),0.40 kg,Liverpool Printed Round Neck T-Shirt - White,http://www.kaymu.com.np/liverpool-printed-round-neck-t-shirt-white-1685102.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-9696-2015861-1-zoom.jpg,mgclassico,Rs 949,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,3.8/5 (21 reviews),0.30 kg,Black & Grey Striped T-Neck T-Shirt,http://www.kaymu.com.np/black-grey-striped-t-neck-t-shirt-1685224.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-9650-4225861-1-zoom.jpg,Option,Rs 990,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,3.8/5 (21 reviews),0.30 kg,Black V-Neck T-Shirt,http://www.kaymu.com.np/black-v-neck-t-shirt-1685223.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-9645-3225861-1-zoom.jpg,Option,Rs 890,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,4.1/5 (218 reviews),0.60 kg,Under Arm Sports T-Shirt - Red,http://www.kaymu.com.np/under-arm-sports-t-shirt-red-1685120.html,Men's,Other,Polyester,http://static.kaymu.com.np/p/other-9691-0215861-1-zoom.jpg,mgclassico,"Rs 1,149",,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,4.1/5 (218 reviews),0.40 kg,Red Manchester United Printed Round Neck T-Shirt,http://www.kaymu.com.np/red-manchester-united-printed-round-neck-t-shirt-1685114.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-9693-4115861-1-zoom.jpg,mgclassico,Rs 949,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,4.1/5 (218 reviews),0.40 kg,Madridistas Printed Round Neck T-Shirt - Black,http://www.kaymu.com.np/madridistas-printed-round-neck-t-shirt-black-1685115.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-9695-5115861-1-zoom.jpg,mgclassico,Rs 949,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,4.1/5 (218 reviews),0.40 kg,White Liverpool Printed Round Neck T-Shirt,http://www.kaymu.com.np/white-liverpool-printed-round-neck-t-shirt-1685119.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-9695-9115861-1-zoom.jpg,mgclassico,Rs 949,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,4.1/5 (218 reviews),0.60 kg,Portugal Home T-Shirt - Red,http://www.kaymu.com.np/portugal-home-t-shirt-red-1685122.html,Men's,Other,Polyester,http://static.kaymu.com.np/p/other-9686-2215861-1-zoom.jpg,mgclassico,Rs 899,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,,0.30 kg,Everlast Round Neck T-shirt for Men,http://www.kaymu.com.np/everlast-round-neck-t-shirt-for-men-1675749.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-9101-9475761-1-zoom.jpg,theclosetnepal,Rs 750,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.7/5 (659 reviews),0.10 kg,Pack of 2 V-Neck Devil Print T-shirts for Men,http://www.kaymu.com.np/pack-of-2-v-neck-devil-print-t-shirts-for-men-1683514.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-2944-4153861-1-zoom.jpg,D2fancy,Rs 450,,,Casual,More than 12 years,Bagmati - Kathmandu Inside Ring Road ,New
,4.1/5 (218 reviews),0.40 kg,Manchester City Printed Round Neck T-Shirt - Black,http://www.kaymu.com.np/manchester-city-printed-round-neck-t-shirt-black-1685105.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-9693-5015861-1-zoom.jpg,mgclassico,Rs 949,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,3.7/5 (659 reviews),0.10 kg,Pack of 2 Dark Grey and Light Grey Tshirt,http://www.kaymu.com.np/pack-of-2-dark-grey-and-light-grey-tshirt-1683495.html,Men's,Other,Other,http://static.kaymu.com.np/p/other-9402-5943861-1-zoom.jpg,D2fancy,Rs 500,,,,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.8/5 (263 reviews),0.30 kg,Men's Plain V-Neck T-shirt - Teal,http://www.kaymu.com.np/mens-plain-v-neck-t-shirt-teal-1682094.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-0241-4902861-1-zoom.jpg,Bastra,Rs 450,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,3.7/5 (659 reviews),0.10 kg,pack of 4 black grey blue and dark grey tshirt,http://www.kaymu.com.np/pack-of-4-black-grey-blue-and-dark-grey-tshirt-1683500.html,Men's,Other,Other,http://static.kaymu.com.np/p/other-0213-0053861-1-zoom.jpg,D2fancy,Rs 950,,,,,Bagmati - Kathmandu Inside Ring Road ,New
,3.8/5 (21 reviews),0.30 kg,Black Round Neck Sports T-Shirt,http://www.kaymu.com.np/black-round-neck-sports-t-shirt-1685251.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-9627-1525861-1-zoom.jpg,Option,"Rs 1,090",,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,3.7/5 (659 reviews),0.10 kg,pack of 3 black dark grey and light grey tshirt,http://www.kaymu.com.np/pack-of-3-black-dark-grey-and-light-grey-tshirt-1683497.html,Men's,Other,Other,http://static.kaymu.com.np/p/other-9731-7943861-1-zoom.jpg,D2fancy,Rs 725,,,,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.7/5 (659 reviews),0.10 kg,Pack of 2 V-Neck T-shirts for Men,http://www.kaymu.com.np/pack-of-2-v-neck-t-shirts-for-men-1683667.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-4682-7663861-1-zoom.jpg,D2fancy,Rs 450,,,Casual,More than 12 years,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.7/5 (659 reviews),0.10 kg,Blue V-neck T-shirt for Men,http://www.kaymu.com.np/blue-v-neck-t-shirt-for-men-1683483.html,Men's,Other,Other,http://static.kaymu.com.np/p/other-7063-3843861-1-zoom.jpg,D2fancy,Rs 280,,,Casual,More than 12 years,Bagmati - Kathmandu Inside Ring Road ,New
