stiched_unstiched,avg_rating_tot_reviews,weight,title,url,gender,brand,material,image_urls,seller,cost,images,occasion,age_group,product_location,condition
,4.1/5 (219 reviews),0.40 kg,Arsenal Printed Round Neck T-Shirt - Red,http://www.kaymu.com.np/arsenal-printed-round-neck-t-shirt-red-1685101.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-9695-1015861-1-zoom.jpg,mgclassico,Rs 949,"[{'url': 'http://static.kaymu.com.np/p/other-9695-1015861-1-zoom.jpg', 'path': 'full/54bc2d46bb91de999c7be2c7b5e2c9d427134c42.jpg', 'checksum': '91f7da0a0b08045623bcd6a2f5a8a9cd'}]",Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,3.8/5 (21 reviews),0.30 kg,Black V-Neck T-Shirt,http://www.kaymu.com.np/black-v-neck-t-shirt-1685223.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-9645-3225861-1-zoom.jpg,Option,Rs 890,"[{'url': 'http://static.kaymu.com.np/p/other-9645-3225861-1-zoom.jpg', 'path': 'full/b42d637cdfc667cde27b0560a6126f9acee38c0b.jpg', 'checksum': '35f8e687c704f3a550bffea32eae3e72'}]",Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,3.5/5 (370 reviews),0.35 kg,Quarter Sleeve Baseball T-Shirt (Black & White),http://www.kaymu.com.np/quarter-sleeve-baseball-t-shirt-black-white-1678842.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-6139-2488761-1-zoom.jpg,shreeganeshfancy,Rs 855,"[{'url': 'http://static.kaymu.com.np/p/other-6139-2488761-1-zoom.jpg', 'path': 'full/426867e0073a614ca684b581c1d61a0e06546275.jpg', 'checksum': 'e102c908f6b7c0f843910b78d7f931af'}]",Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,3.8/5 (1248 reviews),0.25 kg,Men's Striped T-Shirt - Red & White,http://www.kaymu.com.np/mens-striped-t-shirt-red-white-240322.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-0244-223042-1-zoom.jpg,hardikfancycollection,Rs 650,"[{'url': 'http://static.kaymu.com.np/p/other-0244-223042-1-zoom.jpg', 'path': 'full/1a624e69679d50481e0bb3eeb53ed26fdd79e2c9.jpg', 'checksum': '2a85518b0b26a1d75c4a8d56e5b585c3'}]",Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.6/5 (45 reviews),0.30 kg,Blue & White Stripped V-Neck T-Shirt for Men,http://www.kaymu.com.np/blue-white-stripped-v-neck-t-shirt-for-men-1676936.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-4435-6396761-1-zoom.jpg,AwesomeDeal,Rs 900,"[{'url': 'http://static.kaymu.com.np/p/other-4435-6396761-1-zoom.jpg', 'path': 'full/56e39e35aff9a0038b6de78ca57bd50c470ac232.jpg', 'checksum': '9e884a1728a572250c2a3235042495f6'}]",Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,4.1/5 (219 reviews),0.40 kg,Chelsea Printed Round Neck T-Shirt - White,http://www.kaymu.com.np/chelsea-printed-round-neck-t-shirt-white-1685100.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-9697-0015861-1-zoom.jpg,mgclassico,Rs 949,"[{'url': 'http://static.kaymu.com.np/p/other-9697-0015861-1-zoom.jpg', 'path': 'full/0115a8d92c6a6e01eee4c648a57ae67a2eb79fd0.jpg', 'checksum': 'ab1364a3533e0e5c9e0106d4a618613d'}]",Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,4/5 (54 reviews),0.30 kg,Black and White Striped V-Neck T-shirt,http://www.kaymu.com.np/black-and-white-striped-v-neck-t-shirt-1682039.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-2301-9302861-1-zoom.jpg,AnandaImportAndExport,Rs 600,"[{'url': 'http://static.kaymu.com.np/p/other-2301-9302861-1-zoom.jpg', 'path': 'full/92d45d0768edc8f63508a985fbf795f4321e260d.jpg', 'checksum': '81666544109d0ec2eb5ca81b5013f569'}]",Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.5/5 (370 reviews),0.30 kg,Men's Stripped V-Neck T-Shirt,http://www.kaymu.com.np/mens-stripped-v-neck-t-shirt-1664521.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-2987-1254661-1-zoom.jpg,shreeganeshfancy,Rs 945,"[{'url': 'http://static.kaymu.com.np/p/other-2987-1254661-1-zoom.jpg', 'path': 'full/bf406c941e94d90512f88dedbb5f2e40108717cb.jpg', 'checksum': '7e06238df2c5e85f7f8aa4990d1bfdb3'}]",Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.7/5 (1081 reviews),0.30 kg,Quarter Sleeve Grey Baseball T-Shirt,http://www.kaymu.com.np/quarter-sleeve-grey-baseball-t-shirt-1671302.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-8254-2031761-1-zoom.jpg,abfancystore,Rs 700,"[{'url': 'http://static.kaymu.com.np/p/other-8254-2031761-1-zoom.jpg', 'path': 'full/eb2585225f2c3845503a50dac8e2712dde6a77fe.jpg', 'checksum': '9fd5531c2b26e5dcc501c451b8132d0b'}]",Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,4.1/5 (219 reviews),0.40 kg,Black Manchester United Printed Round Neck T-Shirt,http://www.kaymu.com.np/black-manchester-united-printed-round-neck-t-shirt-1685110.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-9691-0115861-1-zoom.jpg,mgclassico,Rs 949,"[{'url': 'http://static.kaymu.com.np/p/other-9691-0115861-1-zoom.jpg', 'path': 'full/1d25d934f71c4483540f81f1adc24be7b0052694.jpg', 'checksum': 'ec0f1f79d1ef29777fb6676d3b0b60b0'}]",Casual,,Bagmati - Kathmandu Inside Ring Road ,New
